"","TSLA.Adjusted"
"656",53.276001
"657",54.672001
"658",54.245998
"659",54.652
"660",52.549999
"661",52.779999
"662",51.731998
"663",49.526001
"664",47.028
"665",48.293999
"666",47.737999
"667",46.801998
"668",48.82
"669",51.006001
"670",51.068001
"671",49.411999
"672",48.967999
"673",48.396
"674",47.903999
"675",45.402
"676",46.462002
"677",46.389999
"678",45.666
"679",42.206001
"680",41.071999
"681",41.015999
"682",38.546001
"683",39.098
"684",38.125999
"685",37.740002
"686",37.972
"687",37.644001
"688",37.032001
"689",35.793999
"690",38.720001
"691",39.318001
"692",41.189999
"693",40.900002
"694",42.576
"695",43.419998
"696",41.852001
"697",42.782001
"698",42.984001
"699",45.006001
"700",44.948002
"701",45.285999
"702",43.924
"703",44.372002
"704",44.728001
"705",43.952
"706",43.854
"707",44.568001
"708",44.692001
"709",45.433998
"710",44.91
"711",46.98
"712",46.619999
"713",46.068001
"714",46.012001
"715",47.784
"716",47.720001
"717",49.015999
"718",50.700001
"719",50.476002
"720",50.972
"721",50.708
"722",51.636002
"723",51.136002
"724",52.034
"725",52.976002
"726",45.764
"727",45.608002
"728",47.153999
"729",48.452
"730",48.321999
"731",46.77
"732",46.868
"733",45.664001
"734",46.150002
"735",46.683998
"736",47.66
"737",47.001999
"738",45.801998
"739",47
"740",43.924
"741",43.127998
"742",43.987999
"743",45.366001
"744",45.172001
"745",44.166
"746",44.43
"747",42.279999
"748",43
"749",42.816002
"750",43.118
"751",44.341999
"752",45.122002
"753",45.001999
"754",44.136002
"755",45.916
"756",45.490002
"757",46.358002
"758",47.108002
"759",49.419998
"760",49.174
"761",49.040001
"762",48.562
"763",48.958
"764",48.698002
"765",49.32
"766",48.124001
"767",48.245998
"768",44.641998
"769",45.740002
"770",48.512001
"771",48.425999
"772",48.174
"773",48.938
"774",48.625999
"775",46.605999
"776",46.285999
"777",47.543999
"778",48.009998
"779",48.905998
"780",48.948002
"781",49.577999
"782",51.391998
"783",51.577999
"784",51.950001
"785",52.394001
"786",51.389999
"787",50.700001
"788",51.116001
"789",50.936001
"790",59.936001
"791",65.625999
"792",65.542
"793",63.243999
"794",63.001999
"795",62.984001
"796",62.661999
"797",63.493999
"798",63.444
"799",65.316002
"800",67.108002
"801",67.428001
"802",69.017998
"803",69.986
"804",69.222
"805",69.870003
"806",70.433998
"807",69.998001
"808",71.903999
"809",70.444
"810",70.966003
"811",66.608002
"812",67.267998
"813",65.783997
"814",66.258003
"815",65.987999
"816",66.973999
"817",67.239998
"818",66.606003
"819",66.073997
"820",67.178001
"821",67.905998
"822",69.767998
"823",70.540001
"824",71.935997
"825",71.678001
"826",76.300003
"827",75.797997
"828",78.629997
"829",80.807999
"830",81.117996
"831",83.844002
"832",85.050003
"833",86.188004
"834",86.075996
"835",82.940002
"836",83.666
"837",86.052002
"838",88.601997
"839",90.307999
"840",93.811996
"841",98.428001
"842",96.267998
"843",95.629997
"844",104.972
"845",107.584
"846",103.699997
"847",102.697998
"848",102.099998
"849",109.440002
"850",113.912003
"851",114.440002
"852",112.963997
"853",111.603996
"854",113.379997
"855",116.197998
"856",128.162003
"857",130.113998
"858",156
"859",177.412003
"860",146.940002
"861",149.792007
"862",149.613998
"863",154.255997
"864",154.876007
"865",153.457993
"866",160.800003
"867",160.005997
"868",171.679993
"869",183.483994
"870",179.882004
"871",180.199997
"872",166.757996
"873",159.981995
"874",155.759995
"875",135.800003
"876",133.598007
"877",148.723999
"878",149.102005
"879",149.899994
"880",144.908005
"881",140.695999
"882",121.599998
"883",129.065994
"884",126.846001
"885",112.110001
"886",109.323997
"887",89.014
"888",86.040001
"889",72.244003
"890",85.528
"891",85.505997
"892",86.858002
"893",101
"894",107.849998
"895",105.632004
"896",102.872002
"897",100.426003
"898",104.800003
"899",96.311996
"900",90.893997
"901",96.001999
"902",103.248001
"903",109.089996
"904",109.767998
"905",114.599998
"906",130.190002
"907",141.977997
"908",145.966003
"909",149.042007
"910",150.778
"911",149.272003
"912",137.343994
"913",146.421997
"914",141.126007
"915",145.029999
"916",159.75
"917",153.824005
"918",160.102005
"919",156.376007
"920",140.264008
"921",152.238007
"922",153.641998
"923",156.516006
"924",156.007996
"925",163.884003
"926",162.257996
"927",161.882004
"928",158.192001
"929",160.666
"930",159.834
"931",162.725998
"932",161.602005
"933",163.112
"934",165.520004
"935",163.376007
"936",163.774002
"937",164.046005
"938",161.162003
"939",167
"940",179.619995
"941",176.311996
"942",176.591995
"943",172.876007
"944",177.132004
"945",189.983994
"946",188.134003
"947",205.009995
"948",194.567993
"949",187.056
"950",198.179993
"951",196.425995
"952",198.358002
"953",200.792007
"954",200.179993
"955",198.863998
"956",200.356003
"957",192.169998
"958",197.195999
"959",191.947998
"960",201.869995
"961",215.962006
"962",223.925995
"963",241.731995
"964",274.31601
"965",277.971985
"966",273.175995
"967",278.855988
"968",308.929993
"969",299.411987
"970",303.359985
"971",309.201996
"972",300.127991
"973",300.167999
"974",328.600006
"975",313.671997
"976",318.466003
"977",302.614014
"978",283.399994
"979",307.920013
"980",295.298004
"981",299.821991
"982",297.497986
"983",286.152008
"984",297
"985",297.399994
"986",297.003998
"987",297.915985
"988",290.541992
"989",283.713989
"990",274.877991
"991",310.951996
"992",324.200012
"993",330.141998
"994",367.127991
"995",377.417999
"996",375.705994
"997",400.365997
"998",409.996002
"999",402.839996
"1000",404.667999
"1001",430.634003
"1002",447.75
"1003",442.679993
"1004",498.320007
"1005",475.049988
"1006",447.369995
"1007",407
